ano,data,descricao,dia_da_semana
2039,2039-01-01,Confraternização Universal,sábado
2039,2039-02-21,Carnaval,segunda-feira
2039,2039-02-22,Carnaval,terça-feira
2039,2039-04-08,Paixão de Cristo,sexta-feira
2039,2039-04-21,Tiradentes,quinta-feira
2039,2039-05-01,Dia do Trabalho,domingo
2039,2039-06-09,Corpus Christi,quinta-feira
2039,2039-09-07,Independência do Brasil,quarta-feira
2039,2039-11-02,Finados,quarta-feira
2039,2039-11-15,Proclamação da República,terça-feira
2039,2039-11-20,Dia Nacional de Zumbi e da Consciência Negra,domingo
2039,2039-12-25,Natal,domingo
