ano,data,descricao,dia_da_semana
2001,2001-01-01,Confraternização Universal,segunda-feira
2001,2001-02-26,Carnaval,segunda-feira
2001,2001-02-27,Carnaval,terça-feira
2001,2001-04-13,Paixão de Cristo,sexta-feira
2001,2001-04-21,Tiradentes,sábado
2001,2001-05-01,Dia do Trabalho,terça-feira
2001,2001-06-14,Corpus Christi,quinta-feira
2001,2001-09-07,Independência do Brasil,sexta-feira
2001,2001-11-02,Finados,sexta-feira
2001,2001-11-15,Proclamação da República,quinta-feira
2001,2001-12-25,Natal,terça-feira
2002,2002-01-01,Confraternização Universal,terça-feira
2002,2002-02-11,Carnaval,segunda-feira
2002,2002-02-12,Carnaval,terça-feira
2002,2002-03-29,Paixão de Cristo,sexta-feira
2002,2002-04-21,Tiradentes,domingo
2002,2002-05-01,Dia do Trabalho,quarta-feira
2002,2002-05-30,Corpus Christi,quinta-feira
2002,2002-09-07,Independência do Brasil,sábado
2002,2002-11-02,Finados,sábado
2002,2002-11-15,Proclamação da República,sexta-feira
2002,2002-12-25,Natal,quarta-feira
2003,2003-01-01,Confraternização Universal,quarta-feira
2003,2003-03-03,Carnaval,segunda-feira
2003,2003-03-04,Carnaval,terça-feira
2003,2003-04-18,Paixão de Cristo,sexta-feira
2003,2003-04-21,Tiradentes,segunda-feira
2003,2003-05-01,Dia do Trabalho,quinta-feira
2003,2003-06-19,Corpus Christi,quinta-feira
2003,2003-09-07,Independência do Brasil,domingo
2003,2003-11-02,Finados,domingo
2003,2003-11-15,Proclamação da República,sábado
2003,2003-12-25,Natal,quinta-feira
2004,2004-01-01,Confraternização Universal,quinta-feira
2004,2004-02-23,Carnaval,segunda-feira
2004,2004-02-24,Carnaval,terça-feira
2004,2004-04-09,Paixão de Cristo,sexta-feira
2004,2004-04-21,Tiradentes,quarta-feira
2004,2004-05-01,Dia do Trabalho,sábado
2004,2004-06-10,Corpus Christi,quinta-feira
2004,2004-09-07,Independência do Brasil,terça-feira
2004,2004-11-02,Finados,terça-feira
2004,2004-11-15,Proclamação da República,segunda-feira
2004,2004-12-25,Natal,sábado
2005,2005-01-01,Confraternização Universal,sábado
2005,2005-02-07,Carnaval,segunda-feira
2005,2005-02-08,Carnaval,terça-feira
2005,2005-03-25,Paixão de Cristo,sexta-feira
2005,2005-04-21,Tiradentes,quinta-feira
2005,2005-05-01,Dia do Trabalho,domingo
2005,2005-05-26,Corpus Christi,quinta-feira
2005,2005-09-07,Independência do Brasil,quarta-feira
2005,2005-11-02,Finados,quarta-feira
2005,2005-11-15,Proclamação da República,terça-feira
2005,2005-12-25,Natal,domingo
2006,2006-01-01,Confraternização Universal,domingo
2006,2006-02-27,Carnaval,segunda-feira
2006,2006-02-28,Carnaval,terça-feira
2006,2006-04-14,Paixão de Cristo,sexta-feira
2006,2006-04-21,Tiradentes,sexta-feira
2006,2006-05-01,Dia do Trabalho,segunda-feira
2006,2006-06-15,Corpus Christi,quinta-feira
2006,2006-09-07,Independência do Brasil,quinta-feira
2006,2006-11-02,Finados,quinta-feira
2006,2006-11-15,Proclamação da República,quarta-feira
2006,2006-12-25,Natal,segunda-feira
2007,2007-01-01,Confraternização Universal,segunda-feira
2007,2007-02-19,Carnaval,segunda-feira
2007,2007-02-20,Carnaval,terça-feira
2007,2007-04-06,Paixão de Cristo,sexta-feira
2007,2007-04-21,Tiradentes,sábado
2007,2007-05-01,Dia do Trabalho,terça-feira
2007,2007-06-07,Corpus Christi,quinta-feira
2007,2007-09-07,Independência do Brasil,sexta-feira
2007,2007-11-02,Finados,sexta-feira
2007,2007-11-15,Proclamação da República,quinta-feira
2007,2007-12-25,Natal,terça-feira
2008,2008-01-01,Confraternização Universal,terça-feira
2008,2008-02-04,Carnaval,segunda-feira
2008,2008-02-05,Carnaval,terça-feira
